url,zip_code,city,type_of_property,subtype_of_property,price,type_of_sale,number_of_rooms,living_area,fully_equipped_kitchen,furnished,open_fire,terrace,terrace_area,garden,garden_area,surface_of_the_land,number_of_facades,swimming_pool,state_of_the_building,region,region_Brussels,region_Flanders,region_Wallonia,property_type_Apartment,property_type_House,property_subtype_apartment,property_subtype_bungalow,property_subtype_chalet,property_subtype_cottage,property_subtype_duplex,property_subtype_ground-floor,property_subtype_loft,property_subtype_mansion,property_subtype_master-house,property_subtype_mixed-building,property_subtype_penthouse,property_subtype_residence,property_subtype_studio,property_subtype_triplex,property_subtype_villa,sale_type_for sale,sale_type_in public sale,price_sqm
https://immovlan.be/en/detail/residence/for-sale/8500/kortrijk/rbv40297,8500,Kortrijk,House,residence,269000,for sale,3,110,2,0,0,1,24,1,204,120,3,0,1,Flanders,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,2445
https://immovlan.be/en/detail/apartment/for-sale/2300/turnhout/rbv41112,2300,Turnhout,Apartment,apartment,399000,for sale,2,86,1,0,0,1,10,0,0,500,2,0,1,Flanders,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,4640
https://immovlan.be/en/detail/apartment/for-sale/1730/asse/rbv27190,1730,Asse,Apartment,apartment,434500,for sale,3,142,2,0,0,1,18,0,70,500,2,0,4,Flanders,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,3060
https://immovlan.be/en/detail/apartment/for-sale/1020/laken/vbd86766,1020,Laken,Apartment,apartment,225000,for sale,1,77,1,0,0,1,11,1,70,500,2,0,0,Brussels,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,2922
https://immovlan.be/en/detail/apartment/for-sale/1180/ukkel/vbc83043,1180,Ukkel,Apartment,apartment,225000,for sale,1,60,1,0,0,0,0,0,0,500,2,0,1,Brussels,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,3750
https://immovlan.be/en/detail/residence/for-sale/5300/andenne/vbd72960,5300,Andenne,House,residence,225000,for sale,2,140,1,0,0,1,27,1,490,210,2,0,1,Wallonia,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,1607
https://immovlan.be/en/detail/residence/for-sale/3600/genk/rbv13431,3600,Genk,House,residence,349000,for sale,2,143,1,0,0,1,24,1,204,194,2,0,4,Flanders,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,2441
https://immovlan.be/en/detail/residence/for-sale/9240/zele/rbv40338,9240,Zele,House,residence,275000,for sale,3,91,1,0,0,0,0,1,204,436,4,0,1,Flanders,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,3022
https://immovlan.be/en/detail/residence/for-sale/3680/maaseik/rbu47888,3680,Maaseik,House,residence,345000,for sale,2,121,1,0,0,1,5,1,204,488,3,0,1,Flanders,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,2851
https://immovlan.be/en/detail/villa/for-sale/5360/hamois/rwc41900,5360,Hamois,House,villa,349000,for sale,3,162,3,0,0,1,27,1,490,639,4,0,2,Wallonia,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,2154
https://immovlan.be/en/detail/villa/for-sale/1480/tubize/vbd89847,1480,Tubize,House,villa,539000,for sale,4,165,1,0,0,0,27,1,490,925,4,0,1,Wallonia,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,3267
https://immovlan.be/en/detail/mixed-building/for-sale/1070/anderlecht/vbd64948,1070,Anderlecht,House,mixed-building,359000,for sale,3,152,3,0,0,1,20,1,25,208,2,0,1,Brussels,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,2362
https://immovlan.be/en/detail/apartment/for-sale/1070/anderlecht/vbb88794,1070,Anderlecht,Apartment,apartment,225000,for sale,3,95,1,0,0,1,11,0,0,500,4,0,0,Brussels,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,2368
https://immovlan.be/en/detail/penthouse/for-sale/1180/ukkel/vbd37387,1180,Ukkel,Apartment,penthouse,980000,for sale,2,140,2,0,0,1,20,0,0,500,2,0,4,Brussels,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,7000
https://immovlan.be/en/detail/apartment/for-sale/2440/geel/rbv43639,2440,Geel,Apartment,apartment,195000,for sale,1,57,1,0,0,1,13,1,70,500,2,0,2,Flanders,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,3421
https://immovlan.be/en/detail/residence/for-sale/5550/vresse-sur-semois/vbd93593,5550,Vresse-sur-Semois,House,residence,300000,for sale,5,311,1,0,0,1,27,1,490,1372,3,0,1,Wallonia,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,965
https://immovlan.be/en/detail/apartment/for-sale/4000/liege/vbd90530,4000,Liege,Apartment,apartment,89000,for sale,1,58,1,0,0,1,10,0,0,500,2,0,1,Wallonia,False,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,1534
https://immovlan.be/en/detail/residence/for-sale/1150/sint-pieters-woluwe/vbc95948,1150,Sint-Pieters-Woluwe,House,residence,580000,for sale,3,154,1,0,0,1,8,1,88,182,2,0,0,Brussels,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,3766
https://immovlan.be/en/detail/residence/for-sale/1970/wezembeek-oppem/vbd91884,1970,Wezembeek-Oppem,House,residence,845000,for sale,3,200,2,0,0,1,20,1,325,590,3,0,1,Flanders,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,4225
https://immovlan.be/en/detail/apartment/for-sale/1180/ukkel/vbd07607,1180,Ukkel,Apartment,apartment,275000,for sale,1,69,1,0,0,0,0,1,70,500,2,0,1,Brussels,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,3986
https://immovlan.be/en/detail/residence/for-sale/1360/thorembais-saint-trond/vbd89339,1360,Thorembais-Saint-Trond,House,residence,300000,for sale,2,95,1,0,0,1,38,1,600,755,3,0,1,Wallonia,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,3158
https://immovlan.be/en/detail/duplex/for-sale/1160/oudergem/vbd79177,1160,Oudergem,Apartment,duplex,295000,for sale,1,85,3,0,0,1,20,1,210,500,2,0,1,Brussels,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,3471
https://immovlan.be/en/detail/studio/for-sale/1200/sint-lambrechts-woluwe/vbd80158,1200,Sint-Lambrechts-Woluwe,Apartment,studio,264500,for sale,0,48,2,0,0,0,0,0,0,500,2,0,4,Brussels,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,5510
https://immovlan.be/en/detail/apartment/for-sale/9050/gentbrugge/rbv36765,9050,Gentbrugge,Apartment,apartment,279000,for sale,3,84,3,0,0,0,0,0,70,500,2,0,3,Flanders,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,3321
https://immovlan.be/en/detail/apartment/for-sale/3550/heusden-zolder/rbv24540,3550,Heusden-Zolder,Apartment,apartment,318000,for sale,3,95,1,0,0,1,22,1,75,500,2,0,2,Flanders,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,3347
https://immovlan.be/en/detail/mixed-building/for-sale/6040/jumet/vbd71904,6040,Jumet,House,mixed-building,215000,for sale,6,165,1,0,0,0,0,0,0,639,2,0,0,Wallonia,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,1303
https://immovlan.be/en/detail/apartment/for-sale/2800/mechelen/rbv35139,2800,Mechelen,Apartment,apartment,265000,for sale,2,77,1,0,0,1,13,0,0,500,2,0,1,Flanders,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,3442
https://immovlan.be/en/detail/duplex/for-sale/1050/elsene/vbd59369,1050,Elsene,Apartment,duplex,575000,for sale,3,127,2,0,0,1,25,0,0,500,2,0,4,Brussels,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,4528
https://immovlan.be/en/detail/apartment/for-sale/1080/sint-jans-molenbeek/vbd30000,1080,Sint-Jans-Molenbeek,Apartment,apartment,175000,for sale,2,70,1,0,0,1,4,0,0,500,2,0,0,Brussels,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,2500
https://immovlan.be/en/detail/residence/for-sale/3690/zutendaal/rbv09567,3690,Zutendaal,House,residence,245000,for sale,3,180,1,0,0,0,24,0,204,488,4,0,1,Flanders,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,1361
https://immovlan.be/en/detail/apartment/for-sale/1200/sint-lambrechts-woluwe/vbd85391,1200,Sint-Lambrechts-Woluwe,Apartment,apartment,642000,for sale,3,113,1,0,0,1,13,0,0,500,2,0,4,Brussels,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,5681
https://immovlan.be/en/detail/residence/for-sale/6769/meix-devant-virton/vbd93852,6769,Meix-devant-Virton,House,residence,895000,for sale,5,380,3,0,0,1,69,1,3950,7600,4,1,2,Wallonia,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,2355
https://immovlan.be/en/detail/residence/for-sale/7024/ciply/vbd07173,7024,Ciply,House,residence,98000,for sale,3,144,1,0,0,0,27,1,559,689,2,0,0,Wallonia,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,681
https://immovlan.be/en/detail/residence/for-sale/9112/sinaai/rbv41009,9112,Sinaai,House,residence,499000,for sale,4,175,1,0,0,1,24,1,133,517,4,0,1,Flanders,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,2851
https://immovlan.be/en/detail/residence/for-sale/3730/hoeselt/rbv42307,3730,Hoeselt,House,residence,289000,for sale,3,236,1,0,0,1,24,1,204,1264,4,0,1,Flanders,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,1225
https://immovlan.be/en/detail/penthouse/for-sale/1090/jette/vbd48358,1090,Jette,Apartment,penthouse,399000,for sale,2,141,2,0,1,1,11,0,0,500,4,0,2,Brussels,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,2830
https://immovlan.be/en/detail/apartment/for-sale/3930/hamont-achel/rbu98364,3930,Hamont-Achel,Apartment,apartment,379000,for sale,2,172,1,0,0,1,13,0,0,500,2,0,2,Flanders,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,2203
https://immovlan.be/en/detail/apartment/for-sale/6791/athus/vbd77188,6791,Athus,Apartment,apartment,599000,for sale,6,90,1,0,0,1,10,1,220,500,2,0,1,Wallonia,False,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,6656
https://immovlan.be/en/detail/apartment/for-sale/6900/marche-en-famenne/vbb09935,6900,Marche-en-Famenne,Apartment,apartment,296700,for sale,2,104,2,0,0,1,8,1,107,500,2,0,1,Wallonia,False,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,2853
https://immovlan.be/en/detail/apartment/for-sale/1200/sint-lambrechts-woluwe/vbd86066,1200,Sint-Lambrechts-Woluwe,Apartment,apartment,335000,for sale,2,90,1,0,0,1,11,0,70,500,2,0,1,Brussels,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,3722
https://immovlan.be/en/detail/apartment/for-sale/1210/sint-joost-ten-node/vbd25289,1210,Sint-Joost-ten-Node,Apartment,apartment,280000,for sale,2,73,1,0,0,0,11,0,70,500,2,0,1,Brussels,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,3836
https://immovlan.be/en/detail/apartment/for-sale/6220/fleurus/vbb69001,6220,Fleurus,Apartment,apartment,239500,for sale,2,79,1,0,0,1,9,0,107,500,2,0,1,Wallonia,False,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,3032
https://immovlan.be/en/detail/residence/for-sale/5660/boussu-en-fagne/vbd87898,5660,Boussu-en-Fagne,House,residence,300000,for sale,5,200,1,0,0,0,0,0,0,1407,4,0,1,Wallonia,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,1500
https://immovlan.be/en/detail/residence/for-sale/5000/beez/vbd81650,5000,Beez,House,residence,159000,for sale,2,87,1,0,0,0,0,1,490,150,2,0,1,Wallonia,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,1828
https://immovlan.be/en/detail/residence/for-sale/9800/deinze/rbv34370,9800,Deinze,House,residence,383011,for sale,3,148,3,0,0,0,0,1,204,313,3,0,4,Flanders,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,2588
https://immovlan.be/en/detail/villa/for-sale/1180/ukkel/vbd32265,1180,Ukkel,House,villa,3450000,for sale,7,670,1,0,0,1,20,1,1150,208,2,0,1,Brussels,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,5149
https://immovlan.be/en/detail/apartment/for-sale/1090/jette/vwd16250,1090,Jette,Apartment,apartment,215000,for sale,2,77,2,0,0,1,2,0,0,500,3,0,0,Brussels,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,2792
https://immovlan.be/en/detail/residence/for-sale/9500/geraardsbergen/rbv40826,9500,Geraardsbergen,House,residence,210000,for sale,3,147,1,0,0,1,24,0,0,90,4,0,1,Flanders,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,1429
https://immovlan.be/en/detail/residence/for-sale/1180/ukkel/vbd45652,1180,Ukkel,House,residence,995000,for sale,5,210,2,0,1,1,12,1,89,180,2,0,1,Brussels,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,4738
https://immovlan.be/en/detail/residence/for-sale/9050/gentbrugge/rbv39953,9050,Gentbrugge,House,residence,566000,for sale,3,166,2,0,0,1,14,1,204,167,2,0,4,Flanders,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,3410
https://immovlan.be/en/detail/apartment/for-sale/1180/ukkel/vbd94089,1180,Ukkel,Apartment,apartment,295000,for sale,3,105,1,0,0,1,11,0,0,500,2,0,0,Brussels,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,2810
https://immovlan.be/en/detail/residence/for-sale/1428/lillois-witterzee/vbd82905,1428,Lillois-Witterzée,House,residence,150000,for sale,2,88,1,0,0,0,0,1,130,200,2,0,0,Wallonia,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,1705
https://immovlan.be/en/detail/residence/for-sale/3640/molenbeersel/rbu78257,3640,Molenbeersel,House,residence,798000,for sale,6,442,1,0,0,1,24,1,204,3052,4,0,1,Flanders,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,1805
https://immovlan.be/en/detail/residence/for-sale/9880/aalter/rbv43627,9880,Aalter,House,residence,374000,for sale,3,180,1,0,0,0,0,0,0,488,3,0,4,Flanders,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,2078
